
 num     #instances         #bytes  class name
 178:            69          10488  org.jboss.resteasy.spi.ResteasyProviderFactory
 179:           653          10448  sun.reflect.DelegatingMethodAccessorImpl
 180:           433          10392  sun.reflect.generics.reflectiveObjects.ParameterizedTypeImpl
 181:           259          10360  sun.nio.cs.UTF_8$Decoder
 182:           141          10152  java.util.regex.Pattern
 183:           634          10144  java.security.ProtectionDomain$Key
 184:           633          10128  [Ljava.security.Principal;
 185:           418          10032  com.alibaba.dubbo.rpc.protocol.ProtocolFilterWrapper$1
 186:           244           9760  javax.management.MBeanOperationInfo
 187:           400           9600  java.util.concurrent.locks.ReentrantReadWriteLock
 188:           100           9600  org.apache.ibatis.mapping.MappedStatement
 189:           547           9552  [Lsun.reflect.generics.tree.FormalTypeParameter;
 190:           389           9336  sun.reflect.generics.scope.MethodScope
 191:           394           9256  [Lsun.reflect.generics.tree.TypeSignature;
 192:           383           9192  org.apache.ibatis.reflection.invoker.MethodInvoker
 193:           569           9104  org.springframework.core.ResolvableType$DefaultVariableResolver
 194:           375           9000  org.springframework.cglib.core.Signature
 195:           374           8976  com.fasterxml.jackson.databind.ser.impl.JsonSerializerMap$Bucket
 196:            75           8968  [Lcom.hazelcast.util.ConcurrentReferenceHashMap$HashEntry;
 197:           111           8880  sun.security.x509.X509CertImpl
 198:            85           8840  org.springframework.context.annotation.ScannedGenericBeanDefinition
 199:           110           8800  [Lorg.springframework.util.ConcurrentReferenceHashMap$Segment;
 200:           274           8768  com.hazelcast.spi.impl.operationexecutor.slowoperationdetector.SlowOperationDetector$CurrentOperationData
 201:           548           8768  java.util.LinkedHashMap$LinkedEntrySet
 202:           271           8672  com.hazelcast.cache.impl.CachePartitionSegment
 203:           271           8672  com.hazelcast.concurrent.lock.LockStoreContainer
 204:           271           8672  com.hazelcast.internal.partition.impl.InternalPartitionImpl
 205:           271           8672  com.hazelcast.multimap.impl.MultiMapPartitionContainer
 206:           271           8672  com.hazelcast.replicatedmap.impl.PartitionContainer
 207:           271           8672  com.hazelcast.scheduledexecutor.impl.ScheduledExecutorPartition
 208:           348           8640  [Lcom.fasterxml.jackson.databind.introspect.AnnotationMap;
 209:           358           8592  sun.reflect.NativeMethodAccessorImpl
 210:            79           8432  [Ljava.lang.ThreadLocal$ThreadLocalMap$Entry;
 211:           344           8256  java.lang.Long
 212:           343           8232  javassist.bytecode.ExceptionTable
 213:           343           8232  javassist.bytecode.LineNumberAttribute
 214:             2           8224  [Lcom.alibaba.fastjson.util.IdentityHashMap$Entry;
 215:           512           8192  org.jboss.netty.util.MapBackedSet
 216:           512           8192  org.jboss.netty.util.internal.ConcurrentIdentityHashMap$KeySet
 217:            57           8024  [[I
 218:           334           8016  org.springframework.beans.BeanWrapperImpl$PropertyTokenHolder
 219:           233           8008  [Lsun.security.x509.RDN;
 220:           500           8000  sun.reflect.generics.tree.TypeVariableSignature
 221:           332           7968  org.springframework.beans.MutablePropertyValues
 222:           332           7968  org.springframework.beans.factory.config.ConstructorArgumentValues
 223:           497           7952  org.apache.ibatis.scripting.xmltags.MixedSqlNode
 224:           326           7824  org.springframework.beans.factory.annotation.InjectionMetadata
 225:           485           7760  java.util.HashMap$EntrySet
 226:            96           7680  com.google.common.cache.LocalCache$Segment
 227:           480           7680  java.util.concurrent.atomic.AtomicInteger
 228:           240           7680  sun.reflect.UnsafeStaticObjectFieldAccessorImpl
 229:           236           7552  java.lang.invoke.LambdaForm$Name
 230:           231           7392  java.util.zip.ZipCoder
 231:           308           7392  javassist.bytecode.ClassInfo
 232:           305           7320  java.util.concurrent.locks.AbstractQueuedSynchronizer$ConditionObject
 233:           449           7184  org.apache.ibatis.scripting.xmltags.ExpressionEvaluator
 234:           224           7168  org.apache.tomcat.util.modeler.ParameterInfo
 235:           148           7104  org.apache.tomcat.util.buf.ByteChunk
 236:           295           7080  java.util.concurrent.Executors$RunnableAdapter
 237:           295           7080  sun.reflect.generics.scope.ClassScope
 238:           441           7056  java.util.concurrent.CopyOnWriteArraySet
 239:           174           6960  ch.qos.logback.core.status.WarnStatus
 240:           174           6960  com.fasterxml.jackson.core.JsonGenerationException
 241:           217           6944  sun.reflect.generics.reflectiveObjects.WildcardTypeImpl
 242:           381           6880  [Ljava.lang.reflect.TypeVariable;
